rec_id,role,name
383,asbestos,chrysotile
384,asbestos,chrysotile
384,associated,serpentine
385,asbestos,chrysotile
385,associated,serpentine
386,associated,serpentine
387,asbestos,chrysotile
387,associated,serpentine
387,associated,manganese
388,asbestos,anthophyllite
388,associated,"hematite (martite)"
389,asbestos,chrysotile
389,associated,serpentine
389,associated,calcite
390,asbestos,crocidolite
390,associated,magnetite
390,associated,hematite
390,associated,apatite
390,associated,pyrite
390,associated,marcasite
390,associated,chlorite
390,associated,calcite
390,associated,actinolite-tremolite
391,asbestos,chrysotile
391,asbestos,clinochrysotile
391,associated,magnesite
391,associated,"serpentine (deweylite)"
391,associated,dolomite
391,associated,calcite
391,associated,quartz
392,asbestos,tremolite
393,asbestos,chrysotile
393,asbestos,tremolite
393,associated,garnet
393,associated,epidote
393,associated,wollastonite
393,associated,fluorite
393,associated,pyrite
393,associated,calcite
393,associated,scheelite
393,associated,serpentine
394,associated,alunite
394,associated,"marble [calc-silicate minerals]"
394,associated,argentite
394,associated,chalcopyrite
394,associated,sphalerite
394,associated,wurtzite
394,associated,pyrite
394,associated,galena
395,asbestos,tremolite
395,associated,calcite
395,associated,potash
395,associated,malachite
395,associated,chalcopyrite
395,associated,azurite
396,associated,dolomite
396,associated,quartz
396,associated,hornblende
396,associated,plagioclase
397,asbestos,actinolite
398,asbestos,tremolite
398,asbestos,actinolite
398,associated,"microcline feldspar"
398,associated,quartz
398,associated,actinolite
398,associated,mica
398,associated,pyrite
399,asbestos,tremolite
399,associated,dolomite
400,asbestos,anthophyllite
400,associated,chlorite
400,associated,enstatite
400,associated,talc
401,asbestos,anthophyllite
401,associated,talc
401,associated,chlorite
401,associated,vermiculite
401,associated,enstatite
401,associated,hornblende
401,associated,hypersthene
401,associated,tremolite
402,asbestos,anthophyllite
402,associated,talc
402,associated,chlorite
402,associated,vermiculite
402,associated,hornblende
402,associated,actinolite
402,associated,mica
403,asbestos,anthophyllite
403,associated,talc
403,associated,enstatite
403,associated,hypersthene
403,associated,bronzite
403,associated,corundum
403,associated,chlorite
403,associated,vermiculite
403,associated,tremolite
404,asbestos,anthophyllite
404,associated,talc
404,associated,chlorite
405,asbestos,anthophyllite
405,associated,enstatite
405,associated,hypersthene
405,associated,talc
406,asbestos,anthophyllite
406,associated,enstatite
406,associated,talc
407,asbestos,anthophyllite
407,associated,talc
407,associated,chlorite
407,associated,vermiculite
407,associated,enstatite
408,asbestos,anthophyllite
408,associated,enstatite
408,associated,hypersthene
408,associated,talc
409,asbestos,anthophyllite
409,associated,talc
410,asbestos,anthophyllite
410,associated,talc
410,associated,enstatite
410,associated,hypersthene
410,associated,corundum
410,associated,pyroxenes
411,asbestos,anthophyllite
411,associated,talc
411,associated,pyroxenes
412,asbestos,anthophyllite
412,associated,talc
413,asbestos,anthophyllite
413,associated,talc
413,associated,enstatite
413,associated,hypersthene
413,associated,olivine
414,asbestos,anthophyllite
414,associated,talc
414,associated,pyroxenes
415,asbestos,anthophyllite
415,associated,talc
416,asbestos,anthophyllite
416,associated,enstatite
416,associated,hypersthene
416,associated,talc
416,associated,actinolite
416,associated,chlorite
417,asbestos,anthophyllite
417,associated,enstatite
417,associated,hypersthene
417,associated,bronzite
417,associated,talc
417,associated,serpentine
417,associated,tourmaline
418,asbestos,anthophyllite
418,associated,talc
418,associated,pyroxenes
419,asbestos,anthophyllite
419,associated,serpentine
419,associated,chlorite
419,associated,garnet
420,associated,serpentine
420,associated,talc
420,associated,magnetite
420,associated,augite
420,associated,olivine
420,associated,magnesite
420,associated,anthophyllite
420,associated,marmolite
421,asbestos,anthophyllite
421,associated,talc
421,associated,olivine
421,associated,enstatite
421,associated,chromite
421,associated,picotite
421,associated,vermiculite
422,associated,pyroxenes
422,associated,talc
422,associated,chlorite
422,associated,amphibole
423,asbestos,anthophyllite
423,associated,talc
423,associated,quartz
423,associated,chromite
424,asbestos,anthophyllite
424,associated,talc
424,associated,quartz
425,asbestos,anthophyllite
426,asbestos,anthophyllite
426,associated,talc
426,associated,olivine
426,associated,serpentine
427,associated,talc
428,asbestos,anthophyllite
428,associated,talc
428,associated,chlorite
428,associated,tremolite
429,asbestos,anthophyllite
429,associated,talc
429,associated,chlorite
430,asbestos,anthophyllite
430,associated,chlorite
430,associated,"amphibole of the hornblende group"
430,associated,olivine
430,associated,magnetite
430,associated,talc
430,associated,carbonates
430,associated,quartz
431,asbestos,anthophyllite
431,associated,talc
431,associated,olivine
432,asbestos,tremolite
432,associated,talc
