rec_id,citation,ref_id
236,"O'Brien (1947, p. 419)",145
236,"Wiebelt and Smith (1959, p. 31-33)",181
236,"Malone and others (1962)",132
236,"Southern Pacific Company (1987a, p. 173)",168
237,"Southern Pacific Company (1987a, p. 175)",168
238,"Southern Pacific Company (1987a, p. 175)",168
239,"Southern Pacific Company (1987a, p. 175)",168
240,"Southern Pacific Company (1987a, p. 175)",168
241,"Southern Pacific Company (1987a, p. 175)",168
242,"Averill (1935, p. 264)",47
242,"O'Brien (1947, p. 418)",145
242,"Wiebelt and Smith (1959, p. 37)",181
242,"Southern Pacific Company (1987a, p. 173)",168
243,"Bell (2008)",55
244,"Averill (1935, p. 264)",47
244,"O'Brien (1947, p. 418)",145
244,"Wiebelt and Smith (1959, p. 37)",181
245,"Bell (2008)",55
246,"Bell (2008)",55
247,"Bell (2008)",55
248,"Bell (2008)",55
249,"Averill (1935, p. 264-265)",47
249,"Bell (2008)",55
250,"Bell (2008)",55
251,"Bell (2008)",55
252,"Murdoch and Webb (1966, p. 70)",142
253,"Wiebelt and Smith (1959, p. 41, 44-46)",181
253,"O'Brien (1965, p. 15, 17)",149
253,"Anonymous (2011k)",42
254,"Southern Pacific Company (1987a, p. 174)",168
255,"Southern Pacific Company (1987a, p. 174)",168
256,"Laudermilk and Woodford (1930)",114
256,"Averill (1931, p. 26)",46
256,"Wiebelt and Smith (1959, p. 45, 47)",181
256,"O'Brien (1965, p. 15)",149
256,"Southern Pacific Company (1987a, p. 172)",168
257,"Southern Pacific Company (1987a, p. 172)",168
258,"O'Brien (1965, p. 54)",149
259,"O'Brien (1965, p. 54)",149
260,"Wiebelt and Smith (1959, p. 40-43)",181
260,"Southern Pacific Company (1987a, p. 173)",168
260,"Anonymous (2011j)",41
261,"O'Brien (1965, p. 54)",149
262,"Southern Pacific Company (1987a, p. 174)",168
263,"Southern Pacific Company (1987a, p. 175)",168
264,"Aubury (1906, p. 264)",44
264,"Logan (1926, p. 12)",119
264,"Wiebelt and Smith (1959, p. 47)",181
264,"O'Brien (1965, p. 54)",149
265,"Wiebelt and Smith (1959, p. 47)",181
265,"Southern Pacific Company (1987a, p. 173)",168
266,"O'Brien (1965, p. 54)",149
267,"O'Brien (1965, p. 15)",149
268,"Southern Pacific Company (1987a, p. 174)",168
269,"O'Brien (1965, p. 54)",149
270,"Southern Pacific Company (1987a, p. 174)",168
271,"Southern Pacific Company (1987a, p. 174)",168
272,"O'Brien (1965, p. 17)",149
272,"Southern Pacific Company (1987a, p. 173)",168
273,"Southern Pacific Company (1987a, p. 174)",168
274,"Southern Pacific Company (1987a, p. 174)",168
275,"Southern Pacific Company (1987a, p. 174)",168
276,"Goodwin (1958, p. 371, 463)",101
277,"Wiebelt and Smith (1959, p. 47-50)",181
277,"Anonymous (2011a)",32
278,"Wiebelt and Smith (1959, p. 49)",181
279,"Logan (1949, p. 49)",125
280,"Aubury (1906, p. 264)",44
281,"Aubury (1906, p. 264)",44
282,"O'Brien (1952, p. 156)",148
283,"Aubury (1906, p. 264)",44
283,"O'Brien (1952, p. 156)",148
284,"O'Brien (1952, p. 156)",148
285,"O'Brien (1952, p. 152-153, 156)",148
286,"Aubury (1906, p. 264)",44
287,"Diller (1908, p. 720-721)",206
287,"Noble (1914, p. 57-60)",228
287,"Sampson (1923, p. 316)",238
287,"Wilson (1928, p. 87-89)",251
287,"Stewart (1955, p. 114-115)",240
288,"Pratt (1905, p. 1137-1140)",233
288,"Noble (1910, p. 520-522)",227
288,"Diller (1911, p. 516-519)",207
288,"Stewart (1955, p. 115-118)",240
288,"Faust and Fahey (1962, p. 11)",95
289,"Ransome (1923, p. 6-7, 39-45)",235
289,"Moore (1928, p. 56-59)",225
289,"Lausen (1931, p. 63)",219
289,"Gardner (1936, p. 27-30)",212
290,"Wilson (1928, p. 78-79)",251
290,"Stewart (1955, p. 70)",240
291,"Wilson (1928, p. 78-79)",251
291,"Stewart (1955, p. 69-71)",240
292,"Stewart (1955, p. 71-72)",240
293,"Stewart (1955, p. 71-72)",240
294,"Stewart (1955, p. 72, 74)",240
295,"Stewart (1955, p. 74)",240
296,"Wilson (1928, p. 73-76)",251
296,"U.S. Bureau of Mines (1945a, p. 17)",244
296,"U.S. Bureau of Mines (1945c)",246
296,"Stewart and Haury (1947, p. 23-25)",243
296,"Stewart (1955, p. 82-84)",240
297,"Stewart (1955, p. 96-97)",240
298,"Stewart (1955, p. 72-73)",240
299,"Stewart (1955, p. 97-98)",240
300,"Stewart (1955, p. 94-95)",240
301,"Stewart (1955, p. 92-94)",240
302,"Stewart (1955, p. 94)",240
303,"Stewart (1955, p. 95, 97)",240
304,"Stewart (1955, p. 98-99)",240
305,"Wilson (1928, p. 76-78)",251
305,"Stewart (1955, p. 86-89)",240
306,"Stewart (1956, p. 37-38)",241
306,"Moore (1968, p. 53, plate 1)",226
307,"Stewart (1955, p. 99-100)",240
308,"Moore (1968, p. 53, plate 1)",226
309,"Wilson (1928, p. 76-78)",251
309,"Stewart (1955, p. 89)",240
310,"Stewart (1955, p. 89-90)",240
311,"Stewart (1956, p. 33-36)",241
312,"Stewart (1955, p. 98)",240
313,"Wilson (1928, p. 80-81)",251
313,"Stewart (1955, p. 79)",240
314,"Wilson (1928, p. 81-82)",251
314,"Stewart (1955, p. 78-79)",240
314,"Harrer (1964, p. 52-54)",214
315,"Wilson (1928, p. 65)",251
315,"Stewart (1955, p. 47-48)",240
315,"Moore (1968, p. 51)",226
316,"Wilson (1928, p. 65-66)",251
316,"Stewart (1955, p. 36-40)",240
316,"Moore (1968, p. 49)",226
317,"Stewart (1955, p. 40, 42)",240
317,"Moore (1968, p. 50-51)",226
318,"Wilson (1928, p. 82-83)",251
318,"U.S. Bureau of Mines (1945a, p. 16-17)",244
318,"U.S. Bureau of Mines (1945e)",248
318,"Stewart and Haury (1947, p. 25-28)",243
318,"Stewart (1955, p. 74, 76-78)",240
319,"Wilson (1928, p. 64-65)",251
319,"Stewart (1956, p. 25-28)",241
319,"Moore (1968, p. 51-53)",226
320,"Stewart (1955, p. 35)",240
321,"Stewart (1955, p. 48-49)",240
322,"Stewart (1956, p. 8-12)",241
323,"Wilson (1928, p. 48-55)",251
323,"Stewart (1955, p. 19-22)",240
323,"Stewart (1961)",242
324,"Wilson (1928, p. 93-94)",251
325,"Wilson (1928, p. 63-64)",251
325,"U.S. Bureau of Mines (1945a, p. 17)",244
325,"U.S. Bureau of Mines (1945b)",245
325,"Stewart and Haury (1947, p. 21-23)",243
325,"Stewart (1955, p. 45-47)",240
325,"Moore (1968, p. 44-46)",226
