Site_ID|Name|WGS84_Lat|WGS84_Lon|Commod_gp|Src_Rec_No|Record_tp|Country|State|Ref_no
11306||-30.73|29.31|Ni, Cu|3827|Occurrence|South Africa||28
11316|Insizwa (Waterfall Gorge)|-30.80|29.27|Ni, Cu|3837|Deposit, Never Exploited|South Africa||28
11320||-30.86|29.35|Cu, Ni|3841|Occurrence|South Africa||28
11328||-30.97|29.38|Cu, Ni|3849|Occurrence|South Africa||28
11330||-31.00|29.31|Cu, Ni|3851|Occurrence|South Africa||28
11338||-31.07|29.40|Cu, Ni|3859|Occurrence|South Africa||28
11500||-31.90|25.58|Ni, Cu, Au|4025|Deposit, Never Exploited|South Africa||28
12008|Rooderand|-25.12|26.99|Cr|4572|Mine, Continuously Producing|South Africa||28
12009|Rustenburg Minerals|-25.14|26.91|Cr|4573|Mine, Continuously Producing|South Africa||28
12010|Ruighoek|-25.18|26.92|Cr|4574|Mine, Continuously Producing|South Africa||28
12011|Ntuane|-25.68|27.27|Cr|4575|Mine, Continuously Producing|South Africa||28
12012|Boshoek|-25.47|27.11|Cr|4576|Mine, Continuously Producing|South Africa||28
12013|Impala Platinum (Wildebeestfontein)|-25.46|27.17|Pt, Ni|4577|Mine, Continuously Producing|South Africa||28
12014|Karee (East & West Platinum Mines)|-25.69|27.45|Pt, Ni|4578|Mine, Continuously Producing|South Africa||28
12015|Western Platinum|-25.69|27.51|Pt, Ni|4579|Mine, Continuously Producing|South Africa||28
12016|Buffelsfontein|-25.72|27.61|Cr|4580|Mine, Continuously Producing|South Africa||28
12017|Maroela|-25.66|27.84|Cr|4581|Mine, Continuously Producing|South Africa||28
12018|Rustenburg|-25.72|27.38|Cr|4584|Mine, Continuously Producing|South Africa||28
12019|K-kraal|-25.73|27.49|Cr|4585|Mine, Continuously Producing|South Africa||28
12033|Boekenhoutfontein|-25.52|27.14|Cr|4600|Mine, Continuously Producing|South Africa||28
12034|Marico|-25.09|26.24|Cr|4601|Mine, Continuously Producing|South Africa||28
12043|Kroondal|-25.70|27.33|Pt, Ni|4613|Mine, Continuously Producing|South Africa||28
12044|Bafokeng - Rasimone (Boschkoppie)|-25.45|27.12|Pt, Ni|4614|Mine, Continuously Producing|South Africa||28
12046|Leslie|-26.49|29.02|Au, Ag, Pt|4616|Mine, Continuously Producing|South Africa||28
12047|Bracken|-26.51|29.06|Au, Ag, Pt|4617|Mine, Continuously Producing|South Africa||28
12048|Winkelhaak|-26.40|29.14|Au, Ag, Pt|4618|Mine, Continuously Producing|South Africa||28
12052|South Roodepoort|-26.21|27.78|Au, Ag, Pt, U|4622|Mine, Continuously Producing|South Africa||28
12054|Simmer and Jack (Knights)|-26.21|28.14|Au, Ag, Pt, U|4624|Mine, Continuously Producing|South Africa||28
12055|Rose Deep|-26.20|28.16|Au, Ag, Pt, U|4625|Mine, Continuously Producing|South Africa||28
12056|East Rand Proprietary Mine (ERPM)|-26.22|28.23|Au, Ag, Pt, U|4626|Mine, Continuously Producing|South Africa||28
12060|Nigel/Sub-Nigel|-26.37|28.47|Au, Ag, Pt|4630|Mine, Continuously Producing|South Africa||28
12061|Crocodile River|-25.67|27.80|Pt, Ni|4631|Mine, Continuously Producing|South Africa||28
12068|Robinson Deep|-26.24|28.04|Au, Ag, Pt, U|4638|Mine, Abandoned|South Africa||28
12069|Elandskraal|-25.72|27.57|Cr|4639|Mine, Continuously Producing|South Africa||28
12070|Haremse|-25.71|27.30|Cr|4640|Mine, Continuously Producing|South Africa||28
12071|Millsell|-25.70|27.27|Cr|4641|Mine, Continuously Producing|South Africa||28
12072|Waterkloof|-25.71|27.29|Cr|4642|Mine, Continuously Producing|South Africa||28
12073|North West|-25.68|27.26|Cr|4643|Mine, Continuously Producing|South Africa||28
12074|Wonderkop|-25.72|27.40|Cr|4644|Mine, Continuously Producing|South Africa||28
12208|Unnamed Occurrences|28.10|-115.23|Cr|BN_MX00577||Mexico|BN|30
12272|El Tigre|27.55|-114.70|Cr|BS_MX00127||Mexico|BS|30
13066|Amalia Margarita|26.83|-102.10|U, V, Ni|CO_153||Mexico|CO|30
14638|San Miguel|16.48|-96.97|Cr, Mn, Ni, Co|OA_210||Mexico|OA|30
14661|Zanatepec|16.49|-94.34|Au, Ag, Co, Ni|OA_231||Mexico|OA|30
14662|Las Anonas|16.35|-94.29|Au, Cu, Co, Ni|OA_232||Mexico|OA|30
14663|Piedras Blancas|16.32|-94.25|Au, Cu, Co, Ni|OA_233||Mexico|OA|30
15103|Alisitos|25.66|-107.10|Ni, Au|SI_88||Mexico|SI|30
24394|Los Placeres|27.60|-114.40|Cu, Ni|281|No recent news|Mexico|SB|29
24404|Magenta|||Au, Ag, Co, Ni|291|Exploration|Mexico|DU|29
24590|Tropico|||Pt, Pd, Au, Cu|477||Mexico|SI|29
24610|Amitsoq|60.37|-44.98|PGE|1||Denmark|Greenland|31
24615|S°ndre Sermilik-Waldorf|60.56|-44.79|PGE|6||Denmark|Greenland|31
24642|Stendalen-4|60.56|-43.74|Cu, Ni, Co|33||Denmark|Greenland|31
24643|Stendalen-5|60.58|-43.69|Cu, Ni, Co|34||Denmark|Greenland|31
24652|S°ndre Sermilik-2|60.54|-44.90|PGE|43||Denmark|Greenland|31
24653|Sarqaa|60.34|-44.93|PGE|44||Denmark|Greenland|31
52885|Cerro Grande|-17.89|-66.39|Sn, (Ag, Ni, Co)|B324|Mediano - Medium|Bolivia||32
53028|El Porvenir|-17.73|-66.68|Ni, Co|B297|Pequeño - Small|Bolivia||32
53045|Tapacari|-17.58|-66.58|Ni, Sb, Cu, (Co, Bi)|B281|Pequeño - Small|Bolivia||32
53085|Chihuiña|-17.23|-66.85|Ni, (Co, Bi, Pb, Cu)|B245|Pequeño - Small|Bolivia||32
53861|Cerro Grande|-20.64|-65.54|Ni|B557|Pequeño - Small|Bolivia||32
54527|12 DE NOVIEMBRE|-32.36|-64.61|Cr|1||Argentina||33
54528|CROMO|-32.56|-64.60|Cr|2||Argentina||33
54529|Los Congos|-32.00|-64.70|Cr|3||Argentina||33
54530|Los Guanacos|-32.18|-64.63|Cr|4||Argentina||33
54531|RESISTENCIA Y EL DESTINO|-32.35|-64.53|Cr|5||Argentina||33
