Reference,Region,Study design,Fauna,Interaction,Vegetation response,Mean value at High Fauna,SD at High Fauna,High Fauna N,Mean value at Low Fauna,SD at Low Fauna,Low Fauna N
"Sethi, P., and Howe, H.F. (2009). Recruitment of Hornbill-Dispersed Trees in Hunted and Logged Forests of the Indian Eastern Himalaya. Conservation Biology 23, 710-718.",Asia,Observed,Birds,Seed dispersal,Species density,2.16,1.96,10,0.14,0.38,10
"Sethi, P., and Howe, H.F. (2009). Recruitment of Hornbill-Dispersed Trees in Hunted and Logged Forests of the Indian Eastern Himalaya. Conservation Biology 23, 710-718.",Asia,Observed,Birds,Seed dispersal,Species density,2.89,1.55,10,0.59,0.57,10
"Sethi, P., and Howe, H.F. (2009). Recruitment of Hornbill-Dispersed Trees in Hunted and Logged Forests of the Indian Eastern Himalaya. Conservation Biology 23, 710-718.",Asia,Observed,Birds,Seed dispersal,Species density,1.95,1.55,10,0.74,0.73,10
"Sethi, P., and Howe, H.F. (2009). Recruitment of Hornbill-Dispersed Trees in Hunted and Logged Forests of the Indian Eastern Himalaya. Conservation Biology 23, 710-718.",Asia,Observed,Birds,Seed dispersal,Species density,4.87,2.85,10,0.91,0.82,10
"Shiels, A.B., Walker, L.R., (2003) Bird perches increase forest seeds on Puerto Rican landslides. Restoration Ecology 11, 457-465.",Neotropics,Manipulated,Birds,Seed dispersal,Community density,5.15,2.97,2,1.49,1.78,2
"Sica, Y.V., Bravo, S.P., and Giombini, M.I. (2014). Spatial Pattern of Pindo Palm (Syagrus romanzoffiana Recruitment in Argentinian Atlantic Forest: The Importance of Tapir and Effects of Defaunation. Biotropica 46, 696-703.",Neotropics,Observed,Ungulates,Seed dispersal,Species density,483,65.82,3,142,33.94,2
"Sica, Y.V., Bravo, S.P., and Giombini, M.I. (2014). Spatial Pattern of Pindo Palm (Syagrus romanzoffiana Recruitment in Argentinian Atlantic Forest: The Importance of Tapir and Effects of Defaunation. Biotropica 46, 696-703.",Neotropics,Observed,Ungulates,Seed dispersal,Species density,96,34.64,3,56,26.87,2
"Sork, V.L. (1987) Effects of predation and light on seedling establishment in Gustavia superba. Ecology 68, 1341-1350",Neotropics,Observed,Multiple,Multiple,Species density,6.77,1.89,3,40.85,12,3
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,11.21,3.78,8,7.36,2.58,8
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,13.25,2.4,8,8.58,2.22,8
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,12.66,3.53,8,10.25,3.31,8
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,7.58,2.8,8,5.78,0.88,8
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,12.4,2.45,8,9.52,2.81,8
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,14.31,4.06,8,12.35,2.57,8
"Stevenson, P.R. (2011). The Abundance of Large Ateline Monkeys is Positively Associated with the Diversity of Plants Regenerating in Neotropical Forests. Biotropica 43, 512-519.",Neotropics,Observed,Primates,Seed dispersal,Community richness,14.25,4.09,8,11.21,3.26,8
