stationname,latdeg,latmin,londeg,lonmin,elevation,observedgravity,freeairanomaly,simplebougaranomaly,innerterraincorrection,totalterraincorrection,correctionextent,completebougaranomaly,isostaticresidualanomaly
SPIKES37,36,55.80,122,8.50,-200.7,979909.65,-7.92,1.64,0.00,3.41,,5.05,-26.04
SPIKES38,36,56.42,122,9.55,-210.0,979913.39,-5.96,4.05,0.00,3.42,,7.47,-24.07
SPIKES39,36,57.05,122,10.50,-204.4,979914.22,-5.51,4.22,0.00,3.42,,7.64,-24.13
SPIKES40,36,57.67,122,11.47,-198.2,979916.00,-4.05,5.38,0.00,3.46,,8.84,-23.22
SPIKES41,36,58.38,122,12.42,-191.0,979916.73,-3.67,5.43,0.00,3.41,,8.84,-23.25
SPIKES42,36,59.07,122,13.33,-185.4,979918.92,-1.95,6.87,0.00,3.44,,10.31,-21.76
SPIKES43,36,59.82,122,14.42,-186.8,979921.17,-0.92,7.96,0.00,3.36,,11.32,-20.90
SPIKES60,36,52.47,122,3.37,-277.8,979906.73,-13.28,-0.06,0.00,2.79,,2.73,-26.46
SPIKES61,36,52.55,122,4.60,-296.1,979906.52,-15.33,-1.25,0.00,2.88,,1.63,-29.46
SPIKES62,36,53.25,122,3.17,-268.4,979908.65,-11.60,1.17,0.00,2.77,,3.94,-25.13
SPIKES63,36,53.13,122,4.42,-256.7,979907.14,-11.84,0.37,0.00,2.66,,3.03,-26.67
SPIKES64,36,53.33,122,5.38,-296.6,979903.98,-19.04,-4.94,0.00,2.85,,-2.09,-32.99
SPIKES65,36,53.73,122,6.42,-274.5,979904.43,-17.09,-4.04,0.00,3.26,,-0.78,-32.63
SPIKES66,36,54.30,122,7.50,-256.1,979904.64,-15.97,-3.79,0.00,3.33,,-0.46,-32.99
SPIKES67,36,54.75,122,8.50,-252.0,979905.47,-15.41,-3.43,0.00,3.31,,-0.12,-33.41
SPIKES68,36,55.40,122,9.08,-253.1,979906.52,-15.40,-3.37,0.00,3.52,,0.15,-32.74
SPIKES69,36,56.00,122,10.63,-246.8,979910.48,-11.72,0.01,0.00,3.65,,3.66,-30.54
SPIKES70,36,56.65,122,11.63,-241.3,979916.11,-6.51,4.96,0.00,3.66,,8.62,-25.86
SPIKES71,36,57.33,122,12.58,-235.6,979920.91,-2.16,9.03,0.00,3.59,,12.62,-21.97
SPIKES72,36,58.00,122,13.50,-232.5,979922.16,-1.59,9.44,0.00,3.52,,12.96,-21.69
SPIKES73,36,58.70,122,14.50,-228.4,979919.25,-5.13,5.70,0.00,3.50,,9.20,-25.55
SPIKES74,36,59.45,122,15.40,-225.4,979917.22,-7.96,2.72,0.00,3.49,,6.21,-28.40
SPIKES77,36,58.40,122,15.65,-283.8,979917.93,-11.22,2.18,0.00,3.60,,5.78,-31.59
